Messages,1101 HarpR
1101_HarpR_1,{Hi|Hey|Hello} var_firstname {government|govn} REFI program {extended|opened} {2.8|2.7|2.9} rates available.Qualify Today. {Go to|Visit|C1ick} {http://bitly.com/1LJvK41|http://bitly.com/1Pd0blm|http://bitly.com/1Pd0e0s|http://bitly.com/1LJvKkl}
1101_HarpR_2,{Hi|Hey|Hello} var_firstname qualify for a {2.8|2.7|2.9} rate and save on your {mortgage|payment}.Govenment {Program|Sav1ngs}. {Go to|Visit|C1ick} {http://bitly.com/1Pd0e0C|http://bitly.com/1Pd0e0I|http://bitly.com/1Pd0e0K|http://bitly.com/1Pd0egY}
1101_HarpR_3,{Hi|Hey|Hello} var_firstname {lower|reduce} your mortgage rate with this {simple|easy|quick} governement program. {Just|Simply} {Go|Visit} Here {http://bitly.com/1Pd0e0C|http://bitly.com/1Pd0e0I|http://bitly.com/1Pd0e0K|http://bitly.com/1Pd0egY}
1101_HarpR_4,{Hi|Hey|Hello} var_firstname save on your mortgage today {2.8|2.7|2.9} rates {expiring|ending} soon.{Free|Gov} Program. {Just|Simply} {Go|Visit} Here {http://bitly.com/1LJvHFr|http://bitly.com/1LJvKkx|http://bitly.com/1LJvHFt|http://bitly.com/1Pd0bBQ}
1101_HarpR_5,{Hi|Hey|Hello} var_firstname get your {HARP|Govn} refinance approval {today|now|free}.No SSN {required|needed} to qualify. {Just|Simply} {Go|Visit} Here {http://bitly.com/1Pd0eh7|http://bitly.com/1LJvKAR|http://bitly.com/1LJvHVL|http://bitly.com/1LJvHVN}
1101_HarpR_6,{Hi|Hey|Hello} var_firstname {reduce|cut} your mortgage payment with {a free|this} government program.{2.8|2.7|2.9} rate. {Just|Simply} {Go|Visit} Here {http://bitly.com/1Pd0bBZ|http://bitly.com/1Pd0ehf|http://bitly.com/1LJvHVT|http://bitly.com/1LJvKB7}
1101_HarpR_7,{Hi|Hey|Hello} var_firstname government REFI program {extended|opened} {2.8|2.7|2.9} rates available.{Qualify|Apl1y} Today. {See|Go|C1ick} Here {http://bitly.com/1Pd0exD|http://bitly.com/1Pd0exJ|http://bitly.com/1LJvIcf|http://bitly.com/1LJvKRB}
1101_HarpR_8,{Hi|Hey|Hello} var_firstname save on your {mortgage|payment} with a {2.8|2.7|2.9} rate.No SSN {required|needed}.You qualify. {See|Go|C1ick} Here {http://bitly.com/1Pd0bSx|http://bitly.com/1Pd0exN|http://bitly.com/1LJvL7Y|http://bitly.com/1LJvL82}
1101_HarpR_9,{Hi|Hey|Hello} var_firstname {lower|reduce} your mortgage {today|now} {2.8|2.7|2.9} rates available with this gov program. {See|Go|C1ick} Here {http://bitly.com/1LJvIcp|http://bitly.com/1LJvL86|http://bitly.com/1Pd0c8U|http://bitly.com/1Pd0eO8}
1101_HarpR_10,{Hi|Hey|Hello} var_firstname government REFI program {extended|opened} {2.8|2.7|2.9} rates available.Qualify Today. {See|Go|C1ick} Here {http://bitly.com/1LJvL88|http://bitly.com/1LJvIsJ|http://bitly.com/1Pd0c8Y|http://bitly.com/1Pd0eOe}
1101_HarpR_11,{Hi|Hey|Hello} var_firstname save on your {mortgage|payment} with a {2.8|2.7|2.9} rate.No SSN {required|needed}.You qualify. {Visit|Go|C1ick} {http://bitly.com/1LJvIsN|http://bitly.com/1LJvIsP|http://bitly.com/1Pd0f4y|http://bitly.com/1Pd0c93}
1101_HarpR_12,{Hi|Hey|Hello} var_firstname government REFI program {extended|opened} {2.8|2.7|2.9} rates available.{Qua1ify|4pply} Today. {Visit|Go|C1ick} {http://bitly.com/1Pd0c97|http://bitly.com/1LJvIsV|http://bitly.com/1LJvIsX|http://bitly.com/1Pd0cpn}
1101_HarpR_13,{Hi|Hey|Hello} var_firstname lower your mortgage {today|now} {2.8|2.7|2.9} rates {available|ready} with this gov program. {Visit|Go|C1ick} {http://bitly.com/1Pd0f4D|http://bitly.com/1LJvLow|http://bitly.com/1LJvIJh|http://bitly.com/1Pd0cpp}
1101_HarpR_14,{Hi|Hey|Hello} var_firstname save on your mortgage today {2.8|2.7|2.9} rates {ending|expiring} soon.{Free|Gov} Program.{Visit|Go|C1ick} {http://bitly.com/1Pd0f4H|http://bitly.com/1Pd0cpt|http://bitly.com/1LJvIJn|http://bitly.com/1LJvOk6}
1101_HarpR_15,{Hi|Hey|Hello} var_firstname {reduce|cut} your mortgage payment with a free government program.{2.8|2.7|2.9} rate. {Just|Simply} {Go|Visit} Here {http://bitly.com/1Pd0cpv|http://bitly.com/1LJvIJv|http://bitly.com/1Pd0fl2|http://bitly.com/1Pd0cpB}
1101_HarpR_16,{Hi|Hey|Hello} var_firstname {government|govn} REFI program {extended|opened} {2.8|2.7|2.9} rates available.Qualify Today. {Go to|Visit|C1ick} {http://bitly.com/1LJxpqa|http://bitly.com/1LJxni1|http://bitly.com/1Pd2bKs|http://bitly.com/1LJxpqe}
1101_HarpR_17,{Hi|Hey|Hello} var_firstname qualify for a {2.8|2.7|2.9} rate and save on your {mortgage|payment}.Govenment {Program|Sav1ngs}. {Go to|Visit|C1ick} {http://bitly.com/1LJxpGA|http://bitly.com/1LJxpGC|http://bitly.com/1LJxpGM|http://bitly.com/1LJxnyy}
1101_HarpR_18,{Hi|Hey|Hello} var_firstname {lower|reduce} your mortgage rate with this {simple|easy|quick} governement program. {Just|Simply} {Go|Visit} Here {http://bitly.com/1LJxpGA|http://bitly.com/1LJxpGC|http://bitly.com/1LJxpGM|http://bitly.com/1LJxnyy}
1101_HarpR_19,{Hi|Hey|Hello} var_firstname save on your mortgage today {2.8|2.7|2.9} rates {expiring|ending} soon.{Free|Gov} Program. {Just|Simply} {Go|Visit} Here {http://bitly.com/1Pd2a9u|http://bitly.com/1LJxnyC|http://bitly.com/1Pd2c16|http://bitly.com/1Pd2apO}
1101_HarpR_20,{Hi|Hey|Hello} var_firstname get your {HARP|Govn} refinance approval {today|now|free}.No SSN {required|needed} to qualify. {Just|Simply} {Go|Visit} Here {http://bitly.com/1LJxpGS|http://bitly.com/1LJxpX7|http://bitly.com/1LJxnOY|http://bitly.com/1Pd2chA}
1101_HarpR_21,{Hi|Hey|Hello} var_firstname {reduce|cut} your mortgage payment with {a free|this} government program.{2.8|2.7|2.9} rate. {Just|Simply} {Go|Visit} Here {http://bitly.com/1Pd2apS|http://bitly.com/1Pd2apV|http://bitly.com/1Pd2cxU|http://bitly.com/1LJxpXa}
