Messages,1105_messages
1105_msg1,"Hello var_firstname be ur own boss,{start|begin} working at home in {4|5|2} days or less. For {Additional|extra} info go here for free today www.wiswaukee.com"
1105_msg2,Hi var_firstname my mom {quit|left} her job after {12|11|9} days using this system. For {Additional|More} info click here fro free now www.sealtechn.com
1105_msg3,Hi var_firstname start {working|earning} at home in {5|9|8} days after seeing our video. {For|Get} more info asap by clicking here for free www.tigerprideinc.com
1105_msg4,Hello var_firstname see how other members are {earning|making} {220|574|397}/day. Click here for free www.makeitrainconsultinginc.com
1105_msg5,"Hi var_firstname be ur own boss,{start|begin} working at home in {3|8|10} days or less. Click here today for free www.magestymakinginc.com"
1105_msg6,"Hello var_firstname be ur own boss,{start|begin} working at home in {14|19|14} days or less. Go here for free today www.topempireinc.com"
1105_msg7,Hey var_firstname start working from home {after|in} {6|2|7} days.Verified income. Click here to check it out for free www.nogiconsulting.com
1105_msg8,var_firstname collect {314|223|278} added income just by operating this system. For More {information|info} go here for free today www.visioniconsulting.com
1105_msg9,Hi var_firstname my mom {quit|left} her job after {12|11|9} days using this system. For {Additional|More} info go to www.seriesplenty.com
1105_msg10,Hey var_firstname collect {247|420|583} added income just by operating your computer. For {additional|extra} info click here today www.inginhumanresources.com
1105_msg11,Hey var_firstname start working from home {after|in} {6|7|19} days.Verified income.  {For|Get} More info here asap www.wiswaukee.com
1105_msg12,Hey var_firstname start working from home {after|in} {8|9|52} days.Verified income. For Additional {information|info} go to www.sealtechn.com
1105_msg13,var_firstname fire your boss after {17|14|44} days using {our|this} proven sytem.  For {Bonus|More} {information|Info} go to www.tigerprideinc.com
1105_msg14,Hey var_firstname Would you {want|like} to earn {480|138|603} every time you use the internet? For {More|extra} information go to www.tigerprideinc.com today.
1105_msg15,Hello var_firstname start earning {287|421|652} every time you turn on your {phone|cell} For {Additional|extra} info go to www.topempireinc.com
1105_msg16,Hi var_firstname Would you like to earn {619|25|607} {each|every} time you use your cell For {Additional|More} info go to www.seriesplenty.com for free
