msgs,1120_1stmsg
1120_1st1,var_firstname we hope you didn't miss what other {people|members} are doing using this {guide|system}.Click here www.hariatabletime.com
1120_1st2,"var_firstname, you {can|will} generate up to hundreds day. {Go|Click} here to {see|view} for free today www.falconswingllc.com"
1120_1st3,"Hello var_firstname you have one pending message, hope you didn't miss the notice. View {free|today} www.bullrodeollc.com"
1120_1st4,"Reminder: var_firstname you have one unread message, Click here to {go now|view} www.upperboxmedia.com"
1120_1st5,"This is a notice for your message that you might have missed, read it today at www.turnspeakerllc.com"
1120_1st6,var_firstname s33 for fr33 that you {can|will} use this simple guid3 that other people have us3d onlin3. {Go|Click} h3r3 to {s33|vi3w} www.masterequalizerllc.com
1120_1st7,"var_firstname ,y0u have 0ne unread message in y0ur inb0x, view t0day s0 y0u d0n't miss 0ut. See at www.ultrachargedllc.com"
1120_1st8,"var_firstname  0ne missed message sitting in y0ur acc0unt, expires in a c0uple of days, view n0w at www.buckhostedinc.com"
1120_1st9,"Hey var_firstname b3gin vi3wing your m3ssag3s in your inbox today befor3 3xpiration, you can click h3r3 www.jeepneyindustries.com"
1120_1st10,"Hi var_firstname s33 this guid3 sitting in your account, hurry, 3xpiring soon so don't miss out! Vi3w h3r3: www.unomovement.com"
