msgs,1120_2ndmsg
1120_2nd1,var_firstname we hope you didn't miss what other {people|members} are doing using this {guide|system}.Click here www.hariatabletime.com
1120_2nd2,"var_firstname, you {can|will} generate up to hundreds day. {Go|Click} here to {see|view} for free today www.falconswingllc.com"
1120_2nd3,"Hello var_firstname you have one pending message, hope you didn't miss the notice. View {free|today} www.bullrodeollc.com"
1120_2nd4,"Reminder: var_firstname you have one unread message, Click here to {go now|view} www.upperboxmedia.com"
1120_2nd5,"This is a notice for your message that you might have missed, read it today at www.turnspeakerllc.com"
1120_2nd6,var_firstname s33 for fr33 that you {can|will} use this simple guid3 that other people have us3d onlin3. {Go|Click} h3r3 to {s33|vi3w} www.masterequalizerllc.com
1120_2nd7,"var_firstname ,y0u have 0ne unread message in y0ur inb0x, view t0day s0 y0u d0n't miss 0ut. See at www.ultrachargedllc.com"
1120_2nd8,"var_firstname  0ne missed message sitting in y0ur acc0unt, expires in a c0uple of days, view n0w at www.buckhostedinc.com"
1120_2nd9,"Hey var_firstname b3gin vi3wing your m3ssag3s in your inbox today befor3 3xpiration, you can click h3r3 www.jeepneyindustries.com"
1120_2nd10,"Hi var_firstname s33 this guid3 sitting in your account, hurry, 3xpiring soon so don't miss out! Vi3w h3r3: www.unomovement.com"
1120_2nd11,var_firstname we hope you didn't miss what other {people|members} are doing using this {guide|system}.Click here www.unomovement.com
1120_2nd12,"var_firstname, you {can|will} generate up to hundreds day. {Go|Click} here to {see|view} for free today www.jeepneyindustries.com"
1120_2nd13,"Hello var_firstname you have one pending message, hope you didn't miss the notice. View {free|today} www.buckhostedinc.com"
1120_2nd14,"Reminder: var_firstname you have one unread message, Click here to {go now|view} www.ultrachargedllc.com"
1120_2nd15,"This is a notice for your message that you might have missed, read it today at www.masterequalizerllc.com"
1120_2nd16,var_firstname s33 for fr33 that you {can|will} use this simple guid3 that other people have us3d onlin3. {Go|Click} h3r3 to {s33|vi3w} www.turnspeakerllc.com
1120_2nd17,"var_firstname ,y0u have 0ne unread message in y0ur inb0x, view t0day s0 y0u d0n't miss 0ut. See at www.upperboxmedia.com"
1120_2nd18,"var_firstname  0ne missed message sitting in y0ur acc0unt, expires in a c0uple of days, view n0w at www.bullrodeollc.com"
1120_2nd19,"Hey var_firstname b3gin vi3wing your m3ssag3s in your inbox today befor3 3xpiration, you can click h3r3 www.falconswingllc.com"
1120_2nd20,"Hi var_firstname s33 this guid3 sitting in your account, hurry, 3xpiring soon so don't miss out! Vi3w h3r3:  www.hariatabletime.com"
