828,828 Messages
828_12_a,Hi var_firstname {Quit|Leave} your {job|work} {after|in} {43|37|64} hours {See|View} our guide. Get yours {today|now} Click Here http://tr.im/12guide regards.{text|txt} stop 2 optout
828_12_b,Hey var_firstname {Make|earn} {money|cash} from your {phone|cell} in {62|3|58} hours.Verified {wealth|income} Don't wait {click|Go} here http://tr.im/12forward regards.txt stop {to|2}.optout
828_12_c,Hey var_firstname {Start|Begin} working {from|at} home {in|after} {31|45|5} {hours|days}.Verified income Learn how {Click|Go} here http://tr.im/12apex {thankU|thanks}.txt stop to.optout
828_12_d,Hey var_firstname {Quit|Leave} your {job|work} {after|in} {6|32|47} days.After {viewing|watching} this {Watch|View} the video now http://tr.im/12host {regards|thanks}.txt stop 2.optout
828_12_e,Hello var_firstname {Start|Begin} working {from|at} home {in|after} {34|4|7} {hours|days}.Verified income {Discover|Learn} how go here now http://tr.im/12cashback thanks.txt stop {to|2}.optout
828_76_a,Hi var_firstname {Make|earn} {money|cash} from your {phone|cell} in {29|44|12} days {using|with} this system {Free|View} info Click Here http://tr.im/76bucks thanks.{text|txt} stop 2 optout
828_76_b,Hello var_firstname {Begin|Get} {earning|working} {from|at} home after {37|51|9} days. Use our {plan|system} {GO|Click} Here http://tr.im/76company thanku.{text|txt} stop to optout
828_76_c,Hey var_firstname {Leave|Fire} your {boss|manager} {after|in} {28|32|29} days.{Gauranteed|Verified} Find out how {Click|Go} here http://tr.im/76bold thanku.{text|txt} stop 2 optout
828_76_d,Hey var_firstname {Start|Get} your {own|new} {business|company} in {21|39|14} days.Using {this|our} system. Free {info|guide} Click Here http://tr.im/76indeed thanku. {text|txt} stop 2.optout
828_76_e,Hello var_firstname My {sister|mom} {left|quit} her {job|work} in {40|13|26} hours {View|See} our guide. Find out how {Click|Go} here http://tr.im/76ethical thanku reply stop {2|to} optout
828_77_a,Hi var_firstname {Begin|Get} {earning|working} {from|at} home after {45|45|68} days.Verified {income|wealth} Free {info|guide} Click Here http://tr.im/77willbe {thanku|thanks}.txt stop 2.optout
828_77_b,Hey var_firstname {Work|earn} {from|using} {your|a} cell phone in {58|46|9} {days|hours}.Using our system Find out {how|now} Click here http://tr.im/77squeeze thanks.{text|txt} stop to optout
